Zeta Zeros,#FF00FF
0.5,14.134725142
0.5,21.022039639
0.5,25.010857580
0.5,30.424876126
0.5,32.935061588
0.5,37.586178159
0.5,40.918719012
0.5,43.327073281
0.5,48.005150881
0.5,49.773832478
0.5,52.970321478
0.5,56.446247697
0.5,59.347044003
0.5,60.831778525
0.5,65.112544048
0.5,67.079810529
0.5,69.546401711
0.5,72.067157674
0.5,75.704690699
0.5,77.144840069
0.5,79.337375020
0.5,82.910380854
0.5,84.735492981
0.5,87.425274613
0.5,88.809111208
0.5,92.491899271
0.5,94.651344041
0.5,95.870634228
0.5,98.831194218
0.5,101.317851006
0.5,103.725538040
0.5,105.446623052
0.5,107.168611184
0.5,111.029535543
0.5,111.874659177
0.5,114.320220915
0.5,116.226680321
0.5,118.790782866
0.5,121.370125002
0.5,122.946829294
0.5,124.256818554
0.5,127.516683880
0.5,129.578704200
0.5,131.087688531
0.5,133.497737203
0.5,134.756509753
0.5,138.116042055
0.5,139.736208952
0.5,141.123707404
0.5,143.111845808
0.5,146.000982487
0.5,147.422765343
0.5,150.053520421
0.5,150.925257612
0.5,153.024693811
0.5,156.112909294
0.5,157.597591818
0.5,158.849988171
0.5,161.188964138
0.5,163.030709687
0.5,165.537069188
0.5,167.184439978
0.5,169.094515416
0.5,169.911976479
0.5,173.411536520
0.5,174.754191523
0.5,176.441434298
0.5,178.377407776
0.5,179.916484020
0.5,182.207078484
0.5,184.874467848
0.5,185.598783678
0.5,187.228922584
0.5,189.416158656
0.5,192.026656361
0.5,193.079726604
0.5,195.265396680
0.5,196.876481841
0.5,198.015309676
0.5,201.264751944
0.5,202.493594514
0.5,204.189671803
0.5,205.394697202
0.5,207.906258888
0.5,209.576509717
0.5,211.690862595
0.5,213.347919360
0.5,214.547044783
0.5,216.169538508
0.5,219.067596349
0.5,220.714918839
0.5,221.430705555
0.5,224.007000255
0.5,224.983324670
0.5,227.421444280
0.5,229.337413306
0.5,231.250188700
0.5,231.987235253
0.5,233.693404179
0.5,236.524229666
0.5,237.769820481
0.5,239.555477573
0.5,241.049157796
0.5,242.823271934
0.5,244.070898497
0.5,247.136990075
0.5,248.101990060
0.5,249.573689645
0.5,251.014947795
0.5,253.069986748
0.5,255.306256455
0.5,256.380713694
0.5,258.610439492
0.5,259.874406990
0.5,260.805084505
0.5,263.573893905
0.5,265.557851839
0.5,266.614973782
0.5,267.921915083
0.5,269.970449024
0.5,271.494055642
0.5,273.459609188
0.5,275.587492649
0.5,276.452049503
0.5,278.250743530
0.5,279.229250928
0.5,282.465114765
0.5,283.211185733
0.5,284.835963981
0.5,286.667445363
0.5,287.911920501
0.5,289.579854929
0.5,291.846291329
0.5,293.558434139
0.5,294.965369619
0.5,295.573254879
0.5,297.979277062
0.5,299.840326054
0.5,301.649325462
0.5,302.696749590
0.5,304.864371341
0.5,305.728912602
0.5,307.219496128
0.5,310.109463147
0.5,311.165141530
0.5,312.427801181
0.5,313.985285731
0.5,315.475616089
0.5,317.734805942
0.5,318.853104256
0.5,321.160134309
0.5,322.144558672
0.5,323.466969558
0.5,324.862866052
0.5,327.443901262
0.5,329.033071680
0.5,329.953239728
0.5,331.474467583
0.5,333.645378525
0.5,334.211354833
0.5,336.841850428
0.5,338.339992851
0.5,339.858216725
0.5,341.042261111
0.5,342.054877510
0.5,344.661702940
0.5,346.347870566
0.5,347.272677584
0.5,349.316260871
0.5,350.408419349
0.5,351.878649025
0.5,353.488900489
0.5,356.017574977
0.5,357.151302252
0.5,357.952685102
0.5,359.743754953
0.5,361.289361696
0.5,363.331330579
0.5,364.736024114
0.5,366.212710288
0.5,367.993575482
0.5,368.968438096
0.5,370.050919212
0.5,373.061928372
0.5,373.864873911
0.5,375.825912767
0.5,376.324092231
0.5,378.436680250
0.5,379.872975347
0.5,381.484468617
0.5,383.443529450
0.5,384.956116815
0.5,385.861300846
0.5,387.222890222
0.5,388.846128354
0.5,391.456083564
0.5,392.245083340
0.5,393.427743844
0.5,395.582870011
0.5,396.381854223
0.5,397.918736210
0.5,399.985119876
0.5,401.839228601
0.5,402.861917764
0.5,404.236441800
0.5,405.134387460
0.5,407.581460387
0.5,408.947245502
0.5,410.513869193
0.5,411.972267804
0.5,413.262736070
0.5,415.018809755
0.5,415.455214996
0.5,418.387705790
0.5,419.861364818
0.5,420.643827625
0.5,422.076710059
0.5,423.716579627
0.5,425.069882494
0.5,427.208825084
0.5,428.127914077
0.5,430.328745431
0.5,431.301306931
0.5,432.138641735
0.5,433.889218481
0.5,436.161006433
0.5,437.581698168
0.5,438.621738656
0.5,439.918442214
0.5,441.683199201
0.5,442.904546303
0.5,444.319336278
0.5,446.860622696
0.5,447.441704194
0.5,449.148545685
0.5,450.126945780
0.5,451.403308445
0.5,453.986737807
0.5,454.974683769
0.5,456.328426689
0.5,457.903893064
0.5,459.513415281
0.5,460.087944422
0.5,462.065367275
0.5,464.057286911
0.5,465.671539211
0.5,466.570286931
0.5,467.439046210
0.5,469.536004559
0.5,470.773655478
0.5,472.799174662
0.5,473.835232345
0.5,475.600339369
0.5,476.769015237
0.5,478.075263767
0.5,478.942181535
0.5,481.830339376
0.5,482.834782791
0.5,483.851427212
0.5,485.539148129
0.5,486.528718262
0.5,488.380567090
0.5,489.661761578
0.5,491.398821594
0.5,493.314441582
0.5,493.957997805
0.5,495.358828822
0.5,496.429696216
0.5,498.580782430
0.5,500.309084942
0.5,501.604446965
0.5,502.276270327
0.5,504.499773313
0.5,505.415231742
0.5,506.464152710
0.5,508.800700336
0.5,510.264227944
0.5,511.562289700
0.5,512.623144531
0.5,513.668985555
0.5,515.435057167
0.5,517.589668572
0.5,518.234223148
0.5,520.106310412
0.5,521.525193449
0.5,522.456696178
0.5,523.960530892
0.5,525.077385687
0.5,527.903641601
0.5,528.406213852
0.5,529.806226319
0.5,530.866917884
0.5,532.688183028
0.5,533.779630754
0.5,535.664314076
0.5,537.069759083
0.5,538.428526176
0.5,540.213166376
0.5,540.631390247
0.5,541.847437121
0.5,544.323890101
0.5,545.636833249
0.5,547.010912058
0.5,547.931613364
0.5,549.497567563
0.5,550.970010039
0.5,552.049572201
0.5,553.764972119
0.5,555.792020562
0.5,556.899476407
0.5,557.564659172
0.5,559.316237029
0.5,560.240807497
0.5,562.559207616
0.5,564.160879111
0.5,564.506055938
0.5,566.698787683
0.5,567.731757901
0.5,568.923955180
0.5,570.051114782
0.5,572.419984132
0.5,573.614610527
0.5,575.093886014
0.5,575.807247141
0.5,577.039003472
0.5,579.098834672
0.5,580.136959362
0.5,581.946576266
0.5,583.236088219
0.5,584.561705903
0.5,585.984563205
0.5,586.742771891
0.5,588.139663266
0.5,590.660397517
0.5,591.725858065
0.5,592.571358300
0.5,593.974714682
0.5,595.728153697
0.5,596.362768328
0.5,598.493077346
0.5,599.545640364
0.5,601.602136736
0.5,602.579167886
0.5,603.625618904
0.5,604.616218494
0.5,606.383460422
0.5,608.413217311
0.5,609.389575155
