# Point Set File Format:
# Settings are specified with #@ prefix followed by name: value
#@name: Zeta Zeros
#@color: #FF00FF
#@skipCriticalLine: false
#@samplingInterval: 1
#@pointSize: 10
# Data format: real,imaginary

0.5,1.028223448
0.5,1.352236237
0.5,1.516270659
0.5,1.719630912
0.5,1.807851968
0.5,1.962985079
0.5,2.068386469
0.5,2.14194293
0.5,2.279266463
0.5,2.329450536
0.5,2.417958969
0.5,2.511254616
0.5,2.586956412
0.5,2.624994117
0.5,2.732159516
0.5,2.780234665
0.5,2.839534551
0.5,2.89906812
0.5,2.983184174
0.5,3.015930916
0.5,3.065208322
0.5,3.144084634
0.5,3.183723565
0.5,3.241376562
0.5,3.270694465
0.5,3.34762978
0.5,3.392034502
0.5,3.416884464
0.5,3.476576504
0.5,3.526029767
0.5,3.573340513
0.5,3.606825611
0.5,3.640057267
0.5,3.713614598
0.5,3.729545034
0.5,3.77530908
0.5,3.810647878
0.5,3.857725119
0.5,3.904574552
0.5,3.932968933
0.5,3.956422536
0.5,4.014257224
0.5,4.050460925
0.5,4.076773299
0.5,4.118486783
0.5,4.140124738
0.5,4.197386234
0.5,4.224753121
0.5,4.248064535
0.5,4.281269228
0.5,4.329114926
0.5,4.352487241
0.5,4.395439299
0.5,4.409589175
0.5,4.443500615
0.5,4.492964906
0.5,4.516571638
0.5,4.536398944
0.5,4.57322094
0.5,4.602028142
0.5,4.640971446
0.5,4.666408088
0.5,4.695745193
0.5,4.708250194
0.5,4.761448299
0.5,4.781716277
0.5,4.807076214
0.5,4.836026193
0.5,4.858929506
0.5,4.892836214
0.5,4.932053742
0.5,4.942654276
0.5,4.966436553
0.5,4.998184779
0.5,5.035838415
0.5,5.050955531
0.5,5.082200773
0.5,5.105120531
0.5,5.121265447
0.5,5.167079245
0.5,5.184308444
0.5,5.208003165
0.5,5.224778151
0.5,5.25958421
0.5,5.282615118
0.5,5.311638809
0.5,5.334284287
0.5,5.350616973
0.5,5.372643837
0.5,5.411783464
0.5,5.433916249
0.5,5.443507595
0.5,5.477901868
0.5,5.490884486
0.5,5.523183049
0.5,5.548443494
0.5,5.573557038
0.5,5.583206327
0.5,5.605484693
0.5,5.642270054
0.5,5.658386361
0.5,5.681417121
0.5,5.700616366
0.5,5.723343257
0.5,5.739276119
0.5,5.778259977
0.5,5.790479497
0.5,5.809069641
0.5,5.82722232
0.5,5.85301588
0.5,5.880965674
0.5,5.894351221
0.5,5.922040038
0.5,5.937683144
0.5,5.949177134
0.5,5.983251808
0.5,6.007557893
0.5,6.020472022
0.5,6.03640275
0.5,6.061295164
0.5,6.079747945
0.5,6.103477089
0.5,6.12907021
0.5,6.139440484
0.5,6.160963907
0.5,6.172643705
0.5,6.211123327
0.5,6.219964052
0.5,6.239177075
0.5,6.260768905
0.5,6.275401097
0.5,6.294962791
0.5,6.321453874
0.5,6.34139812
0.5,6.357743682
0.5,6.36479396
0.5,6.392628343
0.5,6.414081276
0.5,6.434870611
0.5,6.446879351
0.5,6.471665484
0.5,6.481526717
0.5,6.498496159
0.5,6.531280108
0.5,6.543217732
0.5,6.557469382
0.5,6.57500918
0.5,6.591752097
0.5,6.617057556
0.5,6.629550517
0.5,6.655254365
0.5,6.666194296
0.5,6.680864048
0.5,6.696316547
0.5,6.724801416
0.5,6.742284123
0.5,6.752387766
0.5,6.769060377
0.5,6.792787484
0.5,6.798960682
0.5,6.82758368
0.5,6.843835435
0.5,6.860268424
0.5,6.873058893
0.5,6.883979959
0.5,6.912020535
0.5,6.930101603
0.5,6.93999981
0.5,6.961825713
0.5,6.973464061
0.5,6.989102682
0.5,7.00619331
0.5,7.032953494
0.5,7.044920565
0.5,7.053368133
0.5,7.072214161
0.5,7.088439749
0.5,7.109823042
0.5,7.124498034
0.5,7.13989475
0.5,7.158421824
0.5,7.168544763
0.5,7.179769575
0.5,7.210906364
0.5,7.219188397
0.5,7.239378402
0.5,7.244499057
0.5,7.266176276
0.5,7.280879582
0.5,7.297343381
0.5,7.317311401
0.5,7.33269385
0.5,7.341884802
0.5,7.355689696
0.5,7.372115764
0.5,7.39845512
0.5,7.406400338
0.5,7.418294785
0.5,7.439923854
0.5,7.447927586
0.5,7.463300505
0.5,7.4839232
0.5,7.502382134
0.5,7.512545516
0.5,7.526185124
0.5,7.53508307
0.5,7.559281803
0.5,7.572756304
0.5,7.588184587
0.5,7.602520655
0.5,7.615184847
0.5,7.632386645
0.5,7.636655856
0.5,7.665285563
0.5,7.679634965
0.5,7.687243787
0.5,7.701159117
0.5,7.71705567
0.5,7.730151181
0.5,7.750806709
0.5,7.759666381
0.5,7.780843043
0.5,7.790183911
0.5,7.798217586
0.5,7.814988137
0.5,7.836701601
0.5,7.850251699
0.5,7.860157344
0.5,7.872491109
0.5,7.889247693
0.5,7.900824963
0.5,7.914215984
0.5,7.938215953
0.5,7.943694119
0.5,7.95976491
0.5,7.9689633
0.5,7.980947977
0.5,8.005153949
0.5,8.014392521
0.5,8.027035514
0.5,8.041725684
0.5,8.056707358
0.5,8.062048812
0.5,8.080407692
0.5,8.098861535
0.5,8.113787533
0.5,8.122086503
0.5,8.130100976
0.5,8.149415229
0.5,8.160794529
0.5,8.179385517
0.5,8.188879472
0.5,8.205030254
0.5,8.215707205
0.5,8.227625553
0.5,8.235526424
0.5,8.261796966
0.5,8.270914892
0.5,8.280133933
0.5,8.295417032
0.5,8.304365712
0.5,8.321087587
0.5,8.332638024
0.5,8.348274176
0.5,8.365485661
0.5,8.371260399
0.5,8.383817313
0.5,8.393404508
0.5,8.412631454
0.5,8.428049456
0.5,8.439587808
0.5,8.445566169
0.5,8.465324047
0.5,8.473446099
0.5,8.482743217
0.5,8.503418711
0.5,8.516344933
0.5,8.527794233
0.5,8.537140525
0.5,8.54634509
0.5,8.561867263
0.5,8.580768418
0.5,8.586415081
0.5,8.602795764
0.5,8.615191319
0.5,8.623319896
0.5,8.636427555
0.5,8.64615008
0.5,8.670707363
0.5,8.67506732
0.5,8.687201917
0.5,8.696384791
