Sigma, Rak1 Index Zero
-1.572867001,1.411445814
-2.822105978,2.453175845
-3.47062147,3.447114122
-5.255996554,4.471654872
-6.302326403,5.486725896
-7.388223025,6.502782277
-7.707345309,7.511895902
-8.352209045,8.510427322
-9.377357331,9.516232064
-10.50000353,10.51905652
-11.61059143,11.5250665
-12.49468259,12.5319855
-12.91343733,13.53731139
-13.4213475,14.54047191
-13.80272039,15.54385387
-14.14455823,16.54626664
-14.46868286,17.54670607
-15.54142137,18.54724184
-16.4824733,19.55057102
-17.18511516,20.55346239
-17.78572877,21.55636869
-18.35233663,22.55901843
-18.92931281,23.56171293
-19.31056939,24.56482316
-19.37126293,25.56708724
-19.45108084,26.56854344
-19.66294316,27.56935867
-20.09655909,28.57003299
-20.68820593,29.57119395
-21.06269097,30.57245943
-21.69534741,31.57314522
-22.4954451,32.57448499
-23.21315159,33.57632366
-23.78059109,34.57829977
-24.24025615,35.58026201
-24.50767411,36.58221378
-24.68774847,37.58364106
-24.97064393,38.58492338
-25.25297499,39.48659418
-26.02289819,40.4887736
-26.56515191,41.49105692
-26.94483745,42.49293495
-27.37394926,43.49452115
-27.84535125,44.49611367
-28.251394,45.49773869
-28.49781662,46.49923775
-28.74996755,47.50040758
-28.96786089,48.50141746
-29.28011917,49.50198473
-29.96775224,50.50253587
-30.7848946,51.50352774
-31.52009811,52.50475593
-32.11047388,53.50603042
-32.69623506,54.50719102
-33.29316917,55.50841924
-33.83222201,56.50965968
-34.35934926,57.51088087
-34.87675353,58.5121659
-35.28459808,59.51350397
-35.57461697,60.51480928
-35.72053029,61.51597975
-35.8411553,62.51690472
-36.0416652,63.51771415
-36.27573806,64.51847792
-36.54007322,65.51916555
-36.90475939,66.5198431
-37.27180569,67.52056471
-37.64301521,68.52126442
-38.01800153,69.52192081
-38.48404618,70.52249548
-39.10711481,71.52316179
-39.75151852,72.52400481
-40.30492968,73.52495271
-40.79142729,74.5259106
-41.21911974,75.52689504
-41.56649938,76.52786755
-41.85616442,77.52880284
-42.08851693,78.52969449
-42.30448002,79.5305066
-42.55089878,80.53128344
-42.81461105,81.53208746
-43.00351394,82.53292338
-43.10096797,83.53369735
-43.16367439,84.53438339
-43.21153313,85.53498455
-43.29773971,86.53547815
-43.46314896,87.53591572
-43.72514443,88.5363119
-44.11065097,89.5367171
-44.61147891,90.5371965
-45.11939809,91.53780614
-45.53878134,92.53846742
-45.90913773,93.53909989
-46.2892541,94.5397212
-46.68027099,95.54034013
-47.09533742,96.54097981
-47.50272277,97.54165558
-47.88321456,98.54236089
-48.21629972,99.54307847
-48.51923028,100.5437986
-48.7852562,101.5445375
-48.96169112,102.5452892
-49.0387054,103.5459944
-49.06924218,104.5466294
-49.08854349,105.5471952
-49.29633743,106.4888511
-49.85936605,107.4895795
-50.39243223,108.4903077
-50.92070746,109.4910563
-51.38534824,110.4918418
-51.74794574,111.4926231
-52.02430933,112.4933703
-52.23666671,113.4940588
-52.43015535,114.4946851
-52.63520101,115.4952571
-52.87565159,116.4957958
-53.14648216,117.4963257
-53.40471223,118.4968508
-53.65593002,119.4973391
-53.95230263,120.4978045
-54.26326336,121.4982731
-54.56724532,122.4987291
-54.87267247,123.4991533
-55.23033695,124.4995398
-55.67887699,125.4999153
-56.21444285,126.5003183
-56.79997385,127.5007682
-57.3942775,128.5012744
-57.93882331,129.5018279
-58.41753402,130.5023905
-58.86252621,131.5029504
-59.27954847,132.5035124
-59.66179151,133.504077
-60.00154503,134.5046352
-60.30760507,135.5051774
-60.60013276,136.5057006
-60.89454987,137.5062134
-61.18323533,138.5067261
-61.45830078,139.5072377
-61.71334037,140.5077553
-61.91343042,141.5082742
-62.05021948,142.5087718
-62.14694855,143.5092298
-62.24112909,144.5096462
-62.3558122,145.5100295
-62.49846969,146.5103878
-62.67375091,147.5107246
-62.89814573,148.5110407
-63.1958931,149.5113531
-63.54418765,150.5116815
-63.92581601,151.5120262
-64.32670245,152.5123941
-64.71700545,153.5127844
-65.07573813,154.5131825
-65.41530892,155.5135726
-65.76687883,156.5139525
-66.14765811,157.5143338
-66.55276244,158.5147288
-66.95890718,159.5151452
-67.34304182,160.5155757
-67.70950152,161.5160153
-68.05211084,162.5164656
-68.3590353,163.5169232
-68.62806143,164.5173818
-68.86112212,165.5178389
-69.05345571,166.518293
-69.1972537,167.5187377
-69.29823462,168.519162
-69.37859237,169.5195603
-69.46173335,170.5199325
-69.57324501,171.5202883
-69.70532095,172.5206418
-69.83567153,173.5209945
-69.95949513,174.5213406
-70.08034499,175.521679
-70.19599948,176.5220089
-70.30747165,177.5223262
-70.42732654,178.5226271
-70.57287911,179.5229157
-70.74098835,180.5231968
-70.93630986,181.5234692
-71.16588504,182.5237349
-71.44228374,183.5239953
-71.78521222,184.5242608
-72.18418293,185.5245497
-72.59679929,186.5248695
-72.98980397,187.5252128
-73.35224028,188.5255705
-73.68426968,189.525936
-73.98452579,190.5263062
-74.25468796,191.5266744
-74.50864977,192.5270387
-74.75156442,193.5274013
-74.98406825,194.527763
-75.2055867,195.5281252
-75.40938566,196.5284879
-75.59336077,197.5288469
-75.76921609,198.5292002
-75.94558653,199.5295526
-76.11498634,200.5299094
