index, F0 Ag.x, F0 Ag.y, F1 Ag.x, F1 Ag.y, F2 Ag.x, F2 Ag.y, F3 Ag.x, F3 Ag.y, F4 Ag.x, F4 Ag.y
0.0001, NaN,NaN, 1.41421,-0.00185, 1.22474,-0.00156, 1.15470,-0.00146, 1.11803,-0.00141
0.0051, NaN,NaN, 1.41106,-0.09444, 1.22216,-0.07960, 1.15229,-0.07452, 1.11572,-0.07194
0.0101, NaN,NaN, 1.40180,-0.18693, 1.21458,-0.15747, 1.14526,-0.14738, 1.10895,-0.14226
0.0151, NaN,NaN, 1.38644,-0.27891, 1.20202,-0.23486, 1.13360,-0.21975, 1.09773,-0.21210
0.0201, NaN,NaN, 1.36496,-0.36998, 1.18449,-0.31143, 1.11734,-0.29134, 1.08211,-0.28115
0.0251, NaN,NaN, 1.33741,-0.45972, 1.16204,-0.38686, 1.09654,-0.36185, 1.06211,-0.34916
0.0301, NaN,NaN, 1.30385,-0.54771, 1.13473,-0.46085, 1.07125,-0.43099, 1.03783,-0.41583
0.0351, NaN,NaN, 1.26436,-0.63355, 1.10265,-0.53306, 1.04157,-0.49847, 1.00932,-0.48090
0.0401, NaN,NaN, 1.21908,-0.71683, 1.06591,-0.60319, 1.00759,-0.56401, 0.97671,-0.54410
0.0451, NaN,NaN, 1.16815,-0.79714, 1.02462,-0.67093, 0.96943,-0.62733, 0.94009,-0.60516
0.0501, NaN,NaN, 1.11175,-0.87408, 0.97894,-0.73599, 0.92723,-0.68817, 0.89962,-0.66383
0.0551, NaN,NaN, 1.05008,-0.94728, 0.92904,-0.79805, 0.88116,-0.74625, 0.85545,-0.71987
0.0601, NaN,NaN, 0.98338,-1.01635, 0.87510,-0.85686, 0.83138,-0.80134, 0.80773,-0.77302
0.0651, NaN,NaN, 0.91191,-1.08093, 0.81732,-0.91213, 0.77809,-0.85318, 0.75666,-0.82308
0.0701, NaN,NaN, 0.83597,-1.14068, 0.75594,-0.96361, 0.72149,-0.90155, 0.70244,-0.86982
0.0751, NaN,NaN, 0.75586,-1.19527, 0.69120,-1.01106, 0.66181,-0.94623, 0.64527,-0.91303
