index, F0 Ar.x, F0 Ar.y, F1 Ar.x, F1 Ar.y, F2 Ar.x, F2 Ar.y, F3 Ar.x, F3 Ar.y, F4 Ar.x, F4 Ar.y
0.0001, 1.68743,0.16566, 1.58658,-0.56797, 1.12968,-0.85626, 0.80471,-0.87285, 0.59547,-0.81834
0.0051, 1.64670,0.28597, 1.60791,-0.54508, 1.16827,-0.84952, 0.84779,-0.88138, 0.63820,-0.83811
0.0101, 1.62642,0.32803, 1.62842,-0.52130, 1.20660,-0.84102, 0.89130,-0.88780, 0.68194,-0.85567
0.0151, 1.60898,0.35936, 1.64806,-0.49667, 1.24457,-0.83077, 0.93514,-0.89207, 0.72658,-0.87096
0.0201, 1.59270,0.38563, 1.66680,-0.47122, 1.28212,-0.81878, 0.97920,-0.89419, 0.77200,-0.88394
0.0251, 1.57695,0.40882, 1.68459,-0.44498, 1.31915,-0.80507, 1.02337,-0.89412, 0.81808,-0.89456
0.0301, 1.56142,0.42989, 1.70140,-0.41797, 1.35559,-0.78965, 1.06755,-0.89187, 0.86470,-0.90279
0.0351, 1.54596,0.44937, 1.71720,-0.39025, 1.39136,-0.77255, 1.11162,-0.88743, 0.91174,-0.90859
0.0401, 1.53044,0.46758, 1.73195,-0.36183, 1.42638,-0.75379, 1.15549,-0.88081, 0.95907,-0.91195
0.0451, 1.51480,0.48474, 1.74561,-0.33276, 1.46057,-0.73340, 1.19903,-0.87200, 1.00656,-0.91285
0.0501, 1.49899,0.50100, 1.75816,-0.30308, 1.49384,-0.71142, 1.24214,-0.86103, 1.05409,-0.91127
0.0551, 1.48298,0.51646, 1.76957,-0.27283, 1.52613,-0.68788, 1.28471,-0.84790, 1.10152,-0.90721
0.0601, 1.46673,0.53119, 1.77979,-0.24205, 1.55737,-0.66283, 1.32663,-0.83265, 1.14872,-0.90067
0.0651, 1.45022,0.54525, 1.78882,-0.21079, 1.58746,-0.63631, 1.36780,-0.81531, 1.19558,-0.89167
0.0701, 1.43345,0.55868, 1.79661,-0.17910, 1.61636,-0.60836, 1.40810,-0.79590, 1.24194,-0.88023
