index, F0 InfG.x, F0 InfG.y, F1 InfG.x, F1 InfG.y, F2 InfG.x, F2 InfG.y, F3 InfG.x, F3 InfG.y, F4 InfG.x, F4 InfG.y
0.0001, 0.85333,0.35346, 0.85333,0.35346, 0.85333,0.35346, 0.85333,0.35346, 0.85333,0.35346
0.0051, 0.84234,0.34875, 0.84234,0.34875, 0.84234,0.34875, 0.84234,0.34875, 0.84234,0.34875
0.0101, 0.83157,0.34382, 0.83157,0.34382, 0.83157,0.34382, 0.83157,0.34382, 0.83157,0.34382
0.0151, 0.82102,0.33870, 0.82102,0.33870, 0.82102,0.33870, 0.82102,0.33870, 0.82102,0.33870
0.0201, 0.81068,0.33339, 0.81068,0.33339, 0.81068,0.33339, 0.81068,0.33339, 0.81068,0.33339
0.0251, 0.80056,0.32790, 0.80056,0.32790, 0.80056,0.32790, 0.80056,0.32790, 0.80056,0.32790
0.0301, 0.79066,0.32224, 0.79066,0.32224, 0.79066,0.32224, 0.79066,0.32224, 0.79066,0.32224
0.0351, 0.78096,0.31642, 0.78096,0.31642, 0.78096,0.31642, 0.78096,0.31642, 0.78096,0.31642
0.0401, 0.77147,0.31046, 0.77147,0.31046, 0.77147,0.31046, 0.77147,0.31046, 0.77147,0.31046
0.0451, 0.76218,0.30435, 0.76218,0.30435, 0.76218,0.30435, 0.76218,0.30435, 0.76218,0.30435
0.0501, 0.75309,0.29812, 0.75309,0.29812, 0.75309,0.29812, 0.75309,0.29812, 0.75309,0.29812
0.0551, 0.74420,0.29175, 0.74420,0.29175, 0.74420,0.29175, 0.74420,0.29175, 0.74420,0.29175
0.0601, 0.73550,0.28528, 0.73550,0.28528, 0.73550,0.28528, 0.73550,0.28528, 0.73550,0.28528
0.0651, 0.72699,0.27869, 0.72699,0.27869, 0.72699,0.27869, 0.72699,0.27869, 0.72699,0.27869
0.0701, 0.71866,0.27200, 0.71866,0.27200, 0.71866,0.27200, 0.71866,0.27200, 0.71866,0.27200
0.0751, 0.71051,0.26522, 0.71051,0.26522, 0.71051,0.26522, 0.71051,0.26522, 0.71051,0.26522
0.0801, 0.70253,0.25835, 0.70253,0.25835, 0.70253,0.25835, 0.70253,0.25835, 0.70253,0.25835
0.0851, 0.69473,0.25139, 0.69473,0.25139, 0.69473,0.25139, 0.69473,0.25139, 0.69473,0.25139
0.0901, 0.68709,0.24436, 0.68709,0.24436, 0.68709,0.24436, 0.68709,0.24436, 0.68709,0.24436
0.0951, 0.67961,0.23725, 0.67961,0.23725, 0.67961,0.23725, 0.67961,0.23725, 0.67961,0.23725
0.1001, 0.67228,0.23008, 0.67228,0.23008, 0.67228,0.23008, 0.67228,0.23008, 0.67228,0.23008
0.1051, 0.66511,0.22284, 0.66511,0.22284, 0.66511,0.22284, 0.66511,0.22284, 0.66511,0.22284
0.1101, 0.65808,0.21555, 0.65808,0.21555, 0.65808,0.21555, 0.65808,0.21555, 0.65808,0.21555
0.1151, 0.65119,0.20821, 0.65119,0.20821, 0.65119,0.20821, 0.65119,0.20821, 0.65119,0.20821
0.1201, 0.64444,0.20081, 0.64444,0.20081, 0.64444,0.20081, 0.64444,0.20081, 0.64444,0.20081
0.1251, 0.63782,0.19337, 0.63782,0.19337, 0.63782,0.19337, 0.63782,0.19337, 0.63782,0.19337
0.1301, 0.63132,0.18589, 0.63132,0.18589, 0.63132,0.18589, 0.63132,0.18589, 0.63132,0.18589
0.1351, 0.62495,0.17837, 0.62495,0.17837, 0.62495,0.17837, 0.62495,0.17837, 0.62495,0.17837
0.1401, 0.61869,0.17081, 0.61869,0.17081, 0.61869,0.17081, 0.61869,0.17081, 0.61869,0.17081
0.1451, 0.61254,0.16322, 0.61254,0.16322, 0.61254,0.16322, 0.61254,0.16322, 0.61254,0.16322
0.1501, 0.60649,0.15560, 0.60649,0.15560, 0.60649,0.15560, 0.60649,0.15560, 0.60649,0.15560
0.1551, 0.60055,0.14795, 0.60055,0.14795, 0.60055,0.14795, 0.60055,0.14795, 0.60055,0.14795
0.1601, 0.59470,0.14028, 0.59470,0.14028, 0.59470,0.14028, 0.59470,0.14028, 0.59470,0.14028
0.1651, 0.58894,0.13258, 0.58894,0.13258, 0.58894,0.13258, 0.58894,0.13258, 0.58894,0.13258
0.1701, 0.58327,0.12487, 0.58327,0.12487, 0.58327,0.12487, 0.58327,0.12487, 0.58327,0.12487
0.1751, 0.57767,0.11713, 0.57767,0.11713, 0.57767,0.11713, 0.57767,0.11713, 0.57767,0.11713
0.1801, 0.57215,0.10938, 0.57215,0.10938, 0.57215,0.10938, 0.57215,0.10938, 0.57215,0.10938
