index, F0 InfR.x, F0 InfR.y, F1 InfR.x, F1 InfR.y, F2 InfR.x, F2 InfR.y, F3 InfR.x, F3 InfR.y, F4 InfR.x, F4 InfR.y
0.0001, 0.14667,-0.35346, 0.14667,-0.35346, 0.14667,-0.35346, 0.14667,-0.35346, 0.14667,-0.35346
0.0051, 0.15766,-0.34875, 0.15766,-0.34875, 0.15766,-0.34875, 0.15766,-0.34875, 0.15766,-0.34875
0.0101, 0.16843,-0.34382, 0.16843,-0.34382, 0.16843,-0.34382, 0.16843,-0.34382, 0.16843,-0.34382
0.0151, 0.17898,-0.33870, 0.17898,-0.33870, 0.17898,-0.33870, 0.17898,-0.33870, 0.17898,-0.33870
0.0201, 0.18932,-0.33339, 0.18932,-0.33339, 0.18932,-0.33339, 0.18932,-0.33339, 0.18932,-0.33339
0.0251, 0.19944,-0.32790, 0.19944,-0.32790, 0.19944,-0.32790, 0.19944,-0.32790, 0.19944,-0.32790
0.0301, 0.20934,-0.32224, 0.20934,-0.32224, 0.20934,-0.32224, 0.20934,-0.32224, 0.20934,-0.32224
0.0351, 0.21904,-0.31642, 0.21904,-0.31642, 0.21904,-0.31642, 0.21904,-0.31642, 0.21904,-0.31642
0.0401, 0.22853,-0.31046, 0.22853,-0.31046, 0.22853,-0.31046, 0.22853,-0.31046, 0.22853,-0.31046
0.0451, 0.23782,-0.30435, 0.23782,-0.30435, 0.23782,-0.30435, 0.23782,-0.30435, 0.23782,-0.30435
0.0501, 0.24691,-0.29812, 0.24691,-0.29812, 0.24691,-0.29812, 0.24691,-0.29812, 0.24691,-0.29812
0.0551, 0.25580,-0.29175, 0.25580,-0.29175, 0.25580,-0.29175, 0.25580,-0.29175, 0.25580,-0.29175
0.0601, 0.26450,-0.28528, 0.26450,-0.28528, 0.26450,-0.28528, 0.26450,-0.28528, 0.26450,-0.28528
0.0651, 0.27301,-0.27869, 0.27301,-0.27869, 0.27301,-0.27869, 0.27301,-0.27869, 0.27301,-0.27869
0.0701, 0.28134,-0.27200, 0.28134,-0.27200, 0.28134,-0.27200, 0.28134,-0.27200, 0.28134,-0.27200
0.0751, 0.28949,-0.26522, 0.28949,-0.26522, 0.28949,-0.26522, 0.28949,-0.26522, 0.28949,-0.26522
0.0801, 0.29747,-0.25835, 0.29747,-0.25835, 0.29747,-0.25835, 0.29747,-0.25835, 0.29747,-0.25835
0.0851, 0.30527,-0.25139, 0.30527,-0.25139, 0.30527,-0.25139, 0.30527,-0.25139, 0.30527,-0.25139
0.0901, 0.31291,-0.24436, 0.31291,-0.24436, 0.31291,-0.24436, 0.31291,-0.24436, 0.31291,-0.24436
0.0951, 0.32039,-0.23725, 0.32039,-0.23725, 0.32039,-0.23725, 0.32039,-0.23725, 0.32039,-0.23725
0.1001, 0.32772,-0.23008, 0.32772,-0.23008, 0.32772,-0.23008, 0.32772,-0.23008, 0.32772,-0.23008
0.1051, 0.33489,-0.22284, 0.33489,-0.22284, 0.33489,-0.22284, 0.33489,-0.22284, 0.33489,-0.22284
0.1101, 0.34192,-0.21555, 0.34192,-0.21555, 0.34192,-0.21555, 0.34192,-0.21555, 0.34192,-0.21555
0.1151, 0.34881,-0.20821, 0.34881,-0.20821, 0.34881,-0.20821, 0.34881,-0.20821, 0.34881,-0.20821
0.1201, 0.35556,-0.20081, 0.35556,-0.20081, 0.35556,-0.20081, 0.35556,-0.20081, 0.35556,-0.20081
0.1251, 0.36218,-0.19337, 0.36218,-0.19337, 0.36218,-0.19337, 0.36218,-0.19337, 0.36218,-0.19337
0.1301, 0.36868,-0.18589, 0.36868,-0.18589, 0.36868,-0.18589, 0.36868,-0.18589, 0.36868,-0.18589
0.1351, 0.37505,-0.17837, 0.37505,-0.17837, 0.37505,-0.17837, 0.37505,-0.17837, 0.37505,-0.17837
0.1401, 0.38131,-0.17081, 0.38131,-0.17081, 0.38131,-0.17081, 0.38131,-0.17081, 0.38131,-0.17081
0.1451, 0.38746,-0.16322, 0.38746,-0.16322, 0.38746,-0.16322, 0.38746,-0.16322, 0.38746,-0.16322
0.1501, 0.39351,-0.15560, 0.39351,-0.15560, 0.39351,-0.15560, 0.39351,-0.15560, 0.39351,-0.15560
0.1551, 0.39945,-0.14795, 0.39945,-0.14795, 0.39945,-0.14795, 0.39945,-0.14795, 0.39945,-0.14795
0.1601, 0.40530,-0.14028, 0.40530,-0.14028, 0.40530,-0.14028, 0.40530,-0.14028, 0.40530,-0.14028
0.1651, 0.41106,-0.13258, 0.41106,-0.13258, 0.41106,-0.13258, 0.41106,-0.13258, 0.41106,-0.13258
0.1701, 0.41673,-0.12487, 0.41673,-0.12487, 0.41673,-0.12487, 0.41673,-0.12487, 0.41673,-0.12487
0.1751, 0.42233,-0.11713, 0.42233,-0.11713, 0.42233,-0.11713, 0.42233,-0.11713, 0.42233,-0.11713
0.1801, 0.42785,-0.10938, 0.42785,-0.10938, 0.42785,-0.10938, 0.42785,-0.10938, 0.42785,-0.10938
