index, F0 Tg.x, F0 Tg.y, F1 Tg.x, F1 Tg.y, F2 Tg.x, F2 Tg.y, F3 Tg.x, F3 Tg.y, F4 Tg.x, F4 Tg.y
0.0001, -1.80836,-0.72561, 0.90085,0.25474, 0.87596,0.30556, 0.86765,0.32250, 0.86363,0.33083
0.0051, 0.58061,-1.45039, 0.87209,0.30250, 0.84467,0.35236, 0.83537,0.36923, 0.83082,0.37762
0.0101, 0.83447,-1.12176, 0.84108,0.34773, 0.81118,0.39643, 0.80088,0.41315, 0.79578,0.42153
0.0151, 0.94692,-0.90082, 0.80801,0.39035, 0.77569,0.43769, 0.76440,0.45416, 0.75875,0.46248
0.0201, 1.00753,-0.72284, 0.77310,0.43029, 0.73844,0.47610, 0.72615,0.49222, 0.71996,0.50042
0.0251, 1.03935,-0.57029, 0.73653,0.46749, 0.69962,0.51160, 0.68637,0.52729, 0.67963,0.53531
0.0301, 1.05224,-0.43573, 0.69851,0.50193, 0.65945,0.54418, 0.64527,0.55933, 0.63800,0.56713
0.0351, 1.05155,-0.31519, 0.65922,0.53357, 0.61814,0.57380, 0.60306,0.58835, 0.59527,0.59588
0.0401, 1.04057,-0.20626, 0.61886,0.56240, 0.57589,0.60048, 0.55995,0.61435, 0.55167,0.62155
0.0451, 1.02152,-0.10733, 0.57762,0.58842, 0.53290,0.62422, 0.51615,0.63734, 0.50739,0.64417
0.0501, 0.99601,-0.01724, 0.53567,0.61164, 0.48935,0.64504, 0.47184,0.65735, 0.46265,0.66377
0.0551, 0.96527,0.06486, 0.49319,0.63208, 0.44543,0.66299, 0.42723,0.67442, 0.41763,0.68040
0.0601, 0.93025,0.13964, 0.45035,0.64977, 0.40132,0.67811, 0.38249,0.68861, 0.37252,0.69411
0.0651, 0.89173,0.20766, 0.40733,0.66476, 0.35719,0.69045, 0.33780,0.69997, 0.32748,0.70496
0.0701, 0.85036,0.26936, 0.36427,0.67708, 0.31320,0.70007, 0.29331,0.70857, 0.28269,0.71303
0.0751, 0.80668,0.32513, 0.32132,0.68681, 0.26949,0.70705, 0.24918,0.71450, 0.23831,0.71840
0.0801, 0.76118,0.37531, 0.27864,0.69399, 0.22622,0.71146, 0.20557,0.71784, 0.19448,0.72117
0.0851, 0.71427,0.42022, 0.23635,0.69871, 0.18353,0.71339, 0.16260,0.71868, 0.15133,0.72141
0.0901, 0.66631,0.46012, 0.19459,0.70105, 0.14153,0.71293, 0.12041,0.71711, 0.10901,0.71924
0.0951, 0.61763,0.49527, 0.15348,0.70107, 0.10035,0.71017, 0.07911,0.71324, 0.06761,0.71477
0.1001, 0.56851,0.52591, 0.11312,0.69888, 0.06009,0.70522, 0.03880,0.70717, 0.02726,0.70809
0.1051, 0.51922,0.55228, 0.07363,0.69456, 0.02086,0.69818, -0.00040,0.69902, -0.01195,0.69932
0.1101, 0.47000,0.57458, 0.03510,0.68821, -0.01725,0.68915, -0.03841,0.68889, -0.04992,0.68859
0.1151, 0.42105,0.59302, -0.00239,0.67992, -0.05416,0.67824, -0.07515,0.67690, -0.08659,0.67600
0.1201, 0.37258,0.60780, -0.03874,0.66981, -0.08979,0.66557, -0.11055,0.66316, -0.12188,0.66167
0.1251, 0.32474,0.61911, -0.07389,0.65796, -0.12408,0.65124, -0.14455,0.64779, -0.15573,0.64572
0.1301, 0.27771,0.62715, -0.10778,0.64449, -0.15698,0.63537, -0.17708,0.63091, -0.18808,0.62828
0.1351, 0.23161,0.63209, -0.14034,0.62950, -0.18842,0.61807, -0.20811,0.61263, -0.21889,0.60945
0.1401, 0.18658,0.63411, -0.17152,0.61309, -0.21838,0.59944, -0.23760,0.59306, -0.24812,0.58936
0.1451, 0.14273,0.63338, -0.20129,0.59537, -0.24681,0.57961, -0.26551,0.57233, -0.27575,0.56812
0.1501, 0.10016,0.63008, -0.22960,0.57644, -0.27369,0.55868, -0.29182,0.55054, -0.30175,0.54585
0.1551, 0.05895,0.62437, -0.25643,0.55641, -0.29900,0.53676, -0.31651,0.52780, -0.32611,0.52266
0.1601, 0.01920,0.61642, -0.28175,0.53538, -0.32272,0.51395, -0.33958,0.50422, -0.34882,0.49865
0.1651, -0.01905,0.60637, -0.30555,0.51345, -0.34485,0.49035, -0.36102,0.47991, -0.36989,0.47393
0.1701, -0.05572,0.59438, -0.32782,0.49072, -0.36538,0.46608, -0.38083,0.45497, -0.38930,0.44861
0.1751, -0.09078,0.58061, -0.34855,0.46728, -0.38432,0.44122, -0.39903,0.42949, -0.40708,0.42279
0.1801, -0.12418,0.56519, -0.36774,0.44323, -0.40167,0.41587, -0.41561,0.40358, -0.42324,0.39656
0.1851, -0.15589,0.54827, -0.38539,0.41866, -0.41746,0.39013, -0.43061,0.37732, -0.43780,0.37001
0.1901, -0.18589,0.52999, -0.40153,0.39366, -0.43169,0.36407, -0.44404,0.35081, -0.45078,0.34323
0.1951, -0.21417,0.51048, -0.41615,0.36832, -0.44439,0.33780, -0.45592,0.32412, -0.46220,0.31632
0.2001, -0.24071,0.48987, -0.42928,0.34271, -0.45559,0.31137, -0.46629,0.29734, -0.47212,0.28934
0.2051, -0.26551,0.46828, -0.44094,0.31693, -0.46531,0.28489, -0.47519,0.27055, -0.48054,0.26237
0.2101, -0.28857,0.44582, -0.45116,0.29103, -0.47359,0.25841, -0.48264,0.24381, -0.48753,0.23549
0.2151, -0.30991,0.42263, -0.45997,0.26510, -0.48047,0.23201, -0.48868,0.21721, -0.49310,0.20877
0.2201, -0.32953,0.39879, -0.46739,0.23920, -0.48597,0.20575, -0.49336,0.19079, -0.49732,0.18226
0.2251, -0.34746,0.37443, -0.47346,0.21341, -0.49015,0.17969, -0.49672,0.16462, -0.50021,0.15604
