index, F0 Tr.x, F0 Tr.y, F1 Tr.x, F1 Tr.y, F2 Tr.x, F2 Tr.y, F3 Tr.x, F3 Tr.y, F4 Tr.x, F4 Tr.y
0.0001, -0.82454,-0.90473, 0.16396,-0.42127, 0.15892,-0.39148, 0.15594,-0.37997, 0.15409,-0.37383
0.0051, -0.27744,-0.93683, 0.17544,-0.41491, 0.17010,-0.38585, 0.16703,-0.37462, 0.16515,-0.36862
0.0101, -0.13918,-0.89369, 0.18665,-0.40839, 0.18102,-0.38004, 0.17788,-0.36908, 0.17597,-0.36323
0.0151, -0.05199,-0.85420, 0.19758,-0.40172, 0.19170,-0.37406, 0.18850,-0.36336, 0.18656,-0.35765
0.0201, 0.01209,-0.81824, 0.20824,-0.39490, 0.20213,-0.36792, 0.19888,-0.35747, 0.19693,-0.35189
0.0251, 0.06271,-0.78517, 0.21864,-0.38796, 0.21233,-0.36163, 0.20903,-0.35143, 0.20706,-0.34598
0.0301, 0.10440,-0.75446, 0.22879,-0.38089, 0.22229,-0.35521, 0.21895,-0.34524, 0.21697,-0.33992
0.0351, 0.13970,-0.72573, 0.23868,-0.37370, 0.23202,-0.34865, 0.22865,-0.33891, 0.22666,-0.33371
0.0401, 0.17020,-0.69867, 0.24832,-0.36642, 0.24153,-0.34197, 0.23813,-0.33245, 0.23613,-0.32737
0.0451, 0.19694,-0.67307, 0.25773,-0.35904, 0.25081,-0.33517, 0.24740,-0.32587, 0.24540,-0.32090
0.0501, 0.22065,-0.64876, 0.26689,-0.35156, 0.25987,-0.32827, 0.25645,-0.31918, 0.25445,-0.31431
0.0551, 0.24188,-0.62558, 0.27583,-0.34401, 0.26873,-0.32127, 0.26530,-0.31238, 0.26330,-0.30762
0.0601, 0.26103,-0.60343, 0.28455,-0.33638, 0.27738,-0.31418, 0.27394,-0.30548, 0.27195,-0.30082
0.0651, 0.27843,-0.58219, 0.29305,-0.32869, 0.28582,-0.30700, 0.28239,-0.29850, 0.28041,-0.29393
0.0701, 0.29432,-0.56180, 0.30133,-0.32093, 0.29407,-0.29975, 0.29065,-0.29142, 0.28867,-0.28695
0.0751, 0.30890,-0.54217, 0.30941,-0.31312, 0.30212,-0.29242, 0.29872,-0.28427, 0.29675,-0.27989
0.0801, 0.32234,-0.52325, 0.31730,-0.30526, 0.30999,-0.28503, 0.30660,-0.27704, 0.30465,-0.27275
0.0851, 0.33478,-0.50498, 0.32498,-0.29735, 0.31768,-0.27757, 0.31431,-0.26975, 0.31238,-0.26554
0.0901, 0.34633,-0.48731, 0.33248,-0.28940, 0.32519,-0.27006, 0.32185,-0.26239, 0.31993,-0.25826
0.0951, 0.35710,-0.47020, 0.33980,-0.28142, 0.33254,-0.26250, 0.32922,-0.25498, 0.32732,-0.25092
0.1001, 0.36716,-0.45360, 0.34695,-0.27340, 0.33971,-0.25489, 0.33642,-0.24751, 0.33455,-0.24353
0.1051, 0.37658,-0.43750, 0.35392,-0.26536, 0.34673,-0.24724, 0.34348,-0.24000, 0.34162,-0.23609
0.1101, 0.38544,-0.42184, 0.36073,-0.25729, 0.35359,-0.23955, 0.35038,-0.23244, 0.34855,-0.22859
0.1151, 0.39379,-0.40661, 0.36738,-0.24920, 0.36031,-0.23182, 0.35713,-0.22484, 0.35533,-0.22106
0.1201, 0.40167,-0.39178, 0.37389,-0.24109, 0.36688,-0.22407, 0.36374,-0.21721, 0.36197,-0.21348
0.1251, 0.40913,-0.37732, 0.38024,-0.23297, 0.37331,-0.21628, 0.37022,-0.20954, 0.36847,-0.20587
0.1301, 0.41621,-0.36321, 0.38646,-0.22484, 0.37961,-0.20847, 0.37657,-0.20184, 0.37485,-0.19823
0.1351, 0.42294,-0.34944, 0.39254,-0.21669, 0.38579,-0.20064, 0.38279,-0.19411, 0.38110,-0.19056
0.1401, 0.42935,-0.33598, 0.39850,-0.20854, 0.39184,-0.19279, 0.38890,-0.18636, 0.38724,-0.18285
0.1451, 0.43547,-0.32281, 0.40433,-0.20039, 0.39778,-0.18492, 0.39489,-0.17859, 0.39326,-0.17513
0.1501, 0.44132,-0.30992, 0.41004,-0.19223, 0.40360,-0.17703, 0.40077,-0.17080, 0.39918,-0.16738
0.1551, 0.44693,-0.29729, 0.41565,-0.18407, 0.40932,-0.16913, 0.40655,-0.16299, 0.40499,-0.15962
