Index, Zeros
1,3
2,17
3,34
4,56
5,78
6,103
7,128
8,155
9,183
10,212
11,241
12,273
13,302
14,335
15,367
16,398
17,433
18,466
19,500
20,535
21,570
22,605
23,641
24,677
25,712
26,750
27,787
28,824
29,862
30,899
31,938
32,976
33,1014
34,1054
35,1093
36,1131
37,1172
38,1211
39,1251
40,1292
41,1331
42,1373
43,1412
44,1454
45,1496
46,1536
47,1578
48,1619
49,1663
50,1702
51,1746
52,1789
53,1830
54,1872
55,1916
56,1958
57,2002
58,2045
59,2088
60,2132
61,2175
62,2219
63,2263
64,2306
65,2352
66,2395
67,2439
68,2485
69,2528
70,2573
71,2618
72,2663
73,2708
74,2753
75,2798
76,2845
77,2889
78,2934
79,2982
80,3025
81,3072
82,3119
83,3164
84,3210
85,3257
86,3303
87,3349
88,3397
89,3442
90,3490
91,3536
92,3583
93,3630
94,3677
95,3724
96,3772
97,3818
98,3867
99,3915
100,3961
