N,min,max
1,0.24395,0.78499
2,0.23747,0.78144
3,0.23456,0.77952
4,0.23291,0.77832
5,0.23184,0.77750
6,0.23110,0.77690
7,0.23055,0.77645
8,0.23012,0.77609
9,0.22979,0.77580
10,0.22952,0.77556
11,0.22929,0.77536
12,0.22910,0.77519
13,0.22894,0.77505
14,0.22880,0.77492
15,0.22868,0.77481
16,0.22857,0.77471
17,0.22848,0.77463
18,0.22839,0.77455
19,0.22832,0.77448
20,0.22825,0.77441
21,0.22818,0.77435
22,0.22813,0.77430
23,0.22808,0.77425
24,0.22803,0.77420
25,0.22798,0.77416
26,0.22794,0.77412
27,0.22791,0.77409
28,0.22787,0.77406
29,0.22784,0.77402
