# sigma,T  Arias de Reyna positive-t zeros of f(s); T=indexToImag^-1(t); source Zeros25digits.txt
-1.5728670010,1.4114458139
-0.2916351185,1.7838282134
0.3292874563,2.0697315058
0.0165689745,2.3168136727
-2.8216919959,2.4531758448
0.3583574168,2.5895254998
0.2209233629,2.7780662120
-0.8785495894,2.8817820678
0.8606419097,3.0180121794
-0.1976402132,3.1586208268
0.2468576226,3.2458125355
0.5201412726,3.3918744999
-3.4705597920,3.4471141224
-1.1128659621,3.5319657283
0.4871344582,3.6068453578
0.6263985502,3.7316427832
-0.2037630964,3.8046471461
-0.8798165869,3.9115045825
0.1198189815,3.9365705091
0.5723621034,4.0501500730
0.5191790999,4.1183196904
0.0569763184,4.2230823670
-0.4210456808,4.2500776003
0.0266409488,4.3461622405
0.5859689370,4.4105458914
-5.2552303471,4.4716548722
0.6616163205,4.5163080458
-0.3545113293,4.5773423355
-0.2682399277,4.6518500357
0.6038922716,4.6945212384
0.6570527743,4.7821623624
0.1908525463,4.8366084090
-1.4445882147,4.8874853984
0.7449546272,4.9445216827
-0.9615720541,4.9910271772
0.5604878870,5.0513877007
0.8532855361,5.1041461923
0.1928549819,5.1810411282
0.1657863436,5.2115653662
-0.4209155467,5.2749509533
-0.5117789598,5.3301195582
0.0475504629,5.3502986264
0.8077250391,5.4320191265
0.2214316701,5.4827993634
-6.3023188786,5.4867258957
-0.2331013741,5.5495544942
0.7175517067,5.5845722772
0.1350817910,5.6552860381
-0.2661901945,5.6900790662
0.2123996421,5.7254119420
0.8067344035,5.7915573478
0.1950931612,5.8254787766
0.1537067340,5.8850444969
-2.2063957182,5.9220565789
0.6262614954,5.9372768583
0.2712379002,6.0091258956
0.0228156173,6.0332101121
0.0793555967,6.0785071002
0.5245687749,6.1288311622
0.6919510683,6.1600431325
0.6923766095,6.2212711861
-0.5367781828,6.2627140805
-0.5662939292,6.2746871412
-0.5387258343,6.3378295576
0.5066685771,6.3576721424
-0.8537860748,6.4116954866
0.1266825720,6.4430198391
0.6852292505,6.4822353583
-7.3880689064,6.5027822767
0.7635336069,6.5435523025
0.3730112708,6.5749986669
0.1268270721,6.6213666059
0.2377518011,6.6636578073
0.0973451208,6.6821448931
0.3472837319,6.7428068624
-0.3788916756,6.7587526616
0.4081024237,6.7953418986
0.4806160906,6.8438434194
0.8334002965,6.8728162317
0.2317447512,6.9321617988
-2.4502082615,6.9264567348
0.1930183683,6.9719076735
-0.5702181407,6.9965549935
0.9257078162,7.0442122343
0.2283952094,7.0722426188
-0.1355600954,7.1132743862
0.1062206915,7.1399206311
0.9011133195,7.1686464998
0.4798745035,7.2190116498
0.4626838898,7.2437869268
-0.0513383378,7.2795331259
-1.9385277804,7.3153706299
0.1959229217,7.3347613405
-0.1600438958,7.3552997204
0.8085939417,7.4071266941
0.2406571630,7.4452895743
-1.5895178015,7.4541833028
0.1473664681,7.5054370730
-7.7073443447,7.5118959021
0.4761331911,7.5262937734
0.2589959238,7.5724719613
0.4748554822,7.6025583226
0.7747813247,7.6302889335
0.5213228627,7.6795645179
-0.3157541135,7.6952269040
-0.1757347818,7.7208289186
0.2547772638,7.7570614747
0.7647762411,7.7901908096
-0.5905527673,7.8073512091
0.5251459542,7.8502023206
0.1741153809,7.8714013761
0.4441791737,7.9007649722
0.5681936268,7.9442412949
-3.7355460949,7.9584686382
0.5936047379,7.9691191352
0.6084861009,8.0146424466
0.0462820365,8.0415050158
0.4776956641,8.0618013290
-0.1566684703,8.1014421263
0.8703164438,8.1218936660
0.0996206044,8.1513914885
0.1289156149,8.1832928378
0.1181952437,8.2076718861
0.6688927383,8.2270936501
0.8298339611,8.2709944735
0.3920489926,8.2957720998
-0.3543166085,8.3275278952
-2.8948891582,8.3304880795
0.3427497540,8.3684875292
0.2126096565,8.3850560711
-0.5496231356,8.4291126808
0.3367138419,8.4412934796
0.7511928486,8.4736202182
-0.0479339556,8.5166463121
-8.3522063539,8.5104273218
0.2849476283,8.5371235039
-1.5155987147,8.5503000307
0.4867557976,8.5863083337
0.6543959545,8.6147869904
0.5613409103,8.6363216256
0.7255828638,8.6764261182
0.1478600321,8.6931718658
0.0661218167,8.7180251959
-0.0046576794,8.7496691882
-0.8763908633,8.7709711383
0.7162950443,8.7813977245
0.3808521736,8.8232671687
0.4704558489,8.8427650992
0.3115094067,8.8690831555
-0.8286550618,8.8904813612
0.8323910917,8.9181826636
0.4584722765,8.9395092041
0.6303301992,8.9789600655
-3.8121398976,8.9753266273
0.1256364445,9.0079963944
0.1482825229,9.0212994090
0.5761207859,9.0591693135
0.8622537592,9.0782421612
0.1838793833,9.1066165238
-0.1702223164,9.1317170822
0.1632577429,9.1501502761
0.6664751491,9.1682916582
0.5203562261,9.2087390293
-0.2161181558,9.2186840010
0.4219990346,9.2422539987
0.1196427688,9.2695979924
0.6521918673,9.2974105596
0.2521031098,9.3123046524
0.1614657641,9.3506658228
-4.3635324710,9.3581089208
0.1602457201,9.3694502806
0.7295731672,9.3945970318
0.6680224572,9.4312633284
0.6117041995,9.4510402430
-1.1894130055,9.4725020890
0.3412350765,9.4960714248
0.5217714181,9.5242065871
-9.3773487545,9.5162320638
-0.2705535578,9.5387989856
0.3670713790,9.5789729760
-0.1786405955,9.5846245101
0.2284957690,9.6118509877
-0.1214678671,9.6378430785
0.4685225260,9.6577503634
0.8372955674,9.6752554544
0.7535416601,9.7096766754
0.4442382410,9.7294632708
0.0480764111,9.7515025297
-1.0997768367,9.7630789584
0.2739628678,9.7940398727
0.3475355512,9.8055475045
-0.2584424488,9.8286996057
0.7453276078,9.8546893830
0.0354125531,9.8791178876
0.3674653923,9.8885618995
0.3713163262,9.9261164265
0.1189876545,9.9441608972
-1.3522078035,9.9476642487
0.1492969212,9.9793417601
0.5207913034,10.0074953769
-3.2841814156,10.0051275754
0.6040679929,10.0265358078
0.6888458282,10.0610744133
0.4617349819,10.0755708297
0.7105861922,10.0975150549
0.1925448040,10.1234793609
0.2785893415,10.1454243988
0.4198693632,10.1544882482
-0.3500155831,10.1857930983
0.2998897199,10.1999761301
0.2888092492,10.2198160593
0.5060763725,10.2371468704
0.7853929205,10.2696278201
0.0033863823,10.2866634820
-0.5813529044,10.2953505633
0.4216727127,10.3250105288
-0.0151901260,10.3467093674
0.6208220742,10.3607513439
-5.1346599654,10.3779623866
0.2392460239,10.3959309917
0.7446689515,10.4115691860
0.4852571937,10.4360583821
-0.1129913509,10.4603619492
0.4794635405,10.4784343027
0.5703339201,10.4941149146
0.8067958582,10.5276525363
-10.4999956328,10.5190565220
-0.4105758810,10.5485977265
-0.2743508097,10.5579532164
-0.5807066389,10.5769091544
0.6155218751,10.6033603543
0.5582573001,10.6171054385
-0.0459264492,10.6421839745
0.4274456094,10.6619748858
-0.1806253230,10.6785874069
0.7692673115,10.6918306758
0.6043507876,10.7230240083
0.6088043351,10.7379999336
0.1460791882,10.7551445295
0.3212115627,10.7788755288
0.6637348779,10.8051746711
-2.1418123468,10.7994369296
0.2052340789,10.8217758626
0.7295946155,10.8520167078
0.3481755481,10.8656270751
0.5736460710,10.8859329355
-0.8930235432,10.9067328585
0.4387327480,10.9219097488
0.8858099825,10.9387365271
0.1353502552,10.9714665060
-2.6506309878,10.9736710893
-0.1668239255,10.9903043720
0.2303409726,11.0088059318
-1.4219972073,11.0223575936
0.7192087778,11.0481553960
-0.0609766436,11.0596630763
0.0927661513,11.0769681027
0.7449281721,11.0997770668
0.6798780435,11.1197355414
0.7773291075,11.1332188502
0.4748554995,11.1625763478
0.0483313337,11.1799046870
-0.5029864135,11.1812386091
0.4214172007,11.2060065908
0.0120775749,11.2306743544
0.2529752870,11.2423057188
0.3787889927,11.2553256727
0.2843773383,11.2856917372
0.2269871546,11.2940695245
0.7483672504,11.3157294203
-0.6379212491,11.3352339833
-0.2190345410,11.3587840100
0.1598652864,11.3657258121
-2.3648189828,11.3791725944
-0.0723453673,11.4043179964
-3.0439542128,11.4080702960
0.3003692660,11.4246865616
0.7466618343,11.4418689076
0.8900002635,11.4713094314
0.6015394643,11.4864834349
0.1431416572,11.5038320137
0.3212947283,11.5248195317
-11.6105901645,11.5250664992
0.3206656865,11.5459368996
0.4075367800,11.5546754070
-0.3881986606,11.5812972617
0.6757589021,11.5959363387
-0.4356918278,11.6130675427
0.2906768630,11.6246671459
-0.2352398436,11.6502428754
0.5336025688,11.6608211573
0.7121612072,11.6758643675
0.6574713686,11.7026954160
-0.1299472716,11.7167555350
0.3356797458,11.7305071556
0.2362300044,11.7437678073
0.5081830820,11.7693898264
0.8301814455,11.7820647651
0.1767009588,11.8024645892
-2.3907699297,11.8164883976
0.3658630953,11.8270029339
0.2982794866,11.8473077590
0.2682148665,11.8543641331
0.6934184396,11.8835968559
0.3916228001,11.8967660695
0.2316630670,11.9114779381
0.2883534697,11.9298288040
0.7099298992,11.9533612888
-2.6454751781,11.9634444588
0.3672394804,11.9683673971
0.3514655507,11.9998189394
-0.4094716229,12.0117926282
-2.6044965893,12.0127323948
0.7291050419,12.0308084489
0.3535231859,12.0572146615
0.5140901193,12.0729664961
-0.1198604833,12.0801722516
0.1477239549,12.1032580058
0.3837480786,12.1174045817
0.7845830814,12.1338733483
0.6583247956,12.1481466382
0.5724893152,12.1744873637
0.3020386823,12.1823034257
0.3396841662,12.1995144541
-0.5336714110,12.2190274903
-0.5837834228,12.2287075813
0.2442126317,12.2446418100
0.5778870615,12.2543353658
0.5988277615,12.2806697569
0.7251813019,12.2955919020
-0.5244321258,12.3146183781
0.0893703035,12.3185520938
0.2023814591,12.3467674658
0.2300024205,12.3571091375
-0.0951670714,12.3698976709
-5.2398499180,12.3886369729
0.7797542329,12.3962798009
0.2147859185,12.4173198306
-0.0667013737,12.4254911284
-1.7759911774,12.4446257239
0.5381685074,12.4593780880
0.5036990738,12.4714999419
0.2730791073,12.4921982582
0.0822623195,12.5103246691
0.3637218880,12.5231018369
-12.4946634045,12.5319855034
0.8627017522,12.5366421579
0.6828656065,12.5626826387
0.5711052053,12.5747479870
0.4884874636,12.5911327471
-0.2633073213,12.6088390838
-0.7420009178,12.6211551764
0.8528275362,12.6344948437
0.1226760982,12.6481601004
0.0358884079,12.6708957917
0.3673725470,12.6798528889
0.2357509464,12.6967896194
0.4523814276,12.7071534304
0.7767485620,12.7314906857
0.4659936927,12.7456706842
-0.1174730436,12.7527599602
0.4152121483,12.7752824769
-0.1060726873,12.7897058686
0.2768431736,12.8030586826
0.0442177914,12.8122214765
-0.3098199457,12.8398754474
0.4397228765,12.8464558574
-1.8897036645,12.8525794947
0.5133390863,12.8688761666
0.5309911390,12.8888082276
0.7601263216,12.9047750829
0.8301589893,12.9166440902
0.3746319866,12.9429599320
-0.6278226273,12.9482354750
0.3202586173,12.9625058073
0.3906945624,12.9794314913
